,Gender,UG Specialization (Major),Interests,Skills,Average CGPA/Percentage,Certification Courses,Certification Course Title,Working Status,Mapped Category
47,0,electrical and electronics engineering,"information technology,blockchain","docker,kubernetes,amazon web services aws ,bash,apache, new relic apm,jenkins,internet information services iis ,terraform,aks,continuous integration and continuous delivery ci cd ,amazon ec2",74.67,1,creating routing policies to handle website traffic using aws route53;kubernetes,1,Technology & Data Science
48,0,computer science engineering,software job,"full stack, java, python, reactjs",74.1,1,"full stack, java, python, reactjs",1,Technology & Data Science
49,0,mechanical engineering,"supply chain analysis,data scientist,machine learning,excel","active listening,analytical skills,negotiation skills,product knowledge,problem solving skills,risk management skills,machine learning skills,python",88.35,1,data science,1,Technology & Data Science
50,0,computer science engineering,software job,"web development php, codeigniter , java development, graphic desiging, android app development",73.15,1,"web development (php, codeigniter), java development, graphic desiging, android app development",1,Technology & Data Science
51,0,mechanical engineering,"trading,data analytics,govt job,data scientist","data visualization skills power bi tableau ,python,sql",78.18,0,no,0,Technology & Data Science
52,0,commerce ,financial analysis,"accounting skills,active listening,critical thinking,gathering information,artistic creative skills,business knowledge,communication skills,social media marketing",63.0,1,global and digital marketing ,1,Business & Entrepreneurship
53,0,physics,technology,"accounting skills, active listening, ai, python, critical thinking, programming, product knowledge, creativity skills, team work, excel, logical skills, presentation skills, problem solving skills, observation skills, risk managing, reading",68.68,1,qa qc in plasic products and materials,0,Technology & Data Science
54,0,mechanical engineering,"technology,industires",cad cae autocad catia ansys proe seimensnx,74.1,1,catia,1,Technology & Data Science
55,0,electronics and communication engineering,"research,sales marketing,teaching,technology,web designing,content writing,data analytics,digital marketing,data scientist,web development,market reserach,social media marketing,gardening,service,design,information technology,machine learning,excel","programming language skills,analytical skills,communication skills,leadership,editing,problem solving skills,designing skills,writing skills,machine learning skills,sales,social media marketing,r,python,artificial intelligence,sql,architecture,matlab,good communication skills,teaching,aws,php,programming language c,javascript",87.0,1,ddip,1,Technology & Data Science
56,1,statistics ,data analytics,"critical thinking,analytical skills,leadership,problem solving skills,machine learning skills,python",69.35,1,data science using r and python ,0,Technology & Data Science
57,1,computer science engineering,it field,"python, java, sql, programming, problem solving skills",69.0,0,no,1,Technology & Data Science
58,1,information technalogy,"research, technology","active listening, ai, ml, python, analytic thinking, editing, creativity skills, team work, c , problem solving skills, mass communication",89.87,1,"c, c++",0,Technology & Data Science
59,0,commerce ,blockchain,artistic creative skills,60.0,0,no,1,Technology & Data Science
60,0,industrial engineering ,"financial analysis,research,trading,understand human behaviour,understand human body,data analytics,data scientist,gardening","critical thinking,gathering information,business knowledge,analytical skills,finance related skills,people management,civil criminal law,communication skills,negotiation skills,leadership,product knowledge,problem solving skills,risk management skills,data visualization skills power bi tableau ,machine learning skills,interpersonal skills,python,sql",72.0,0,no,1,Technology & Data Science
61,0,mechanical engineering,"technology,supply chain analysis","business knowledge,negotiation skills,product knowledge,sales",60.8,1,"sap scm,  supply chain management",1,Technology & Data Science
62,0,high pressure die casting ,technology,designing skills,70.0,1,catia,1,Technology & Data Science
63,0,accounting&finance,financial analysis,"company law,company secretarial work,due diligence,corporate law,industrial and labour law,company law,corporate social responsibility,public company compliance,statutory compliances,regulatory compliance",83.03,1,no,1,Business & Entrepreneurship
64,0,computer science engineering ,"research,technology,data analytics,design","active listening,programming language skills,communication skills,client management,good communication skills",68.02,0,no,1,Technology & Data Science
65,1,computer science engineering,"teaching,technology,web designing","active listening,programming language skills,gathering information,mass communication,content creation",68.4,1,mba,1,Technology & Data Science
66,0,information technology,"technology, understand human behaviour, understand human body","analytic thinking, gathering informing, sql, risk managing",76.0,0,no,1,Technology & Data Science
67,1,computer science ,"technology,data analytics,data scientist,all fields related to data science","analytical skills,data visualization skills power bi tableau ,python,sql",66.5,1,data science,0,Technology & Data Science
68,0,computer science ,"digital marketing,market reserach","business knowledge,analytical skills,people management,communication skills,leadership,product knowledge,problem solving skills,risk management skills,designing skills,writing skills,data visualization skills power bi tableau ,presentation skills,sql,hospitality,hr,excel",75.0,0,no,0,Business & Entrepreneurship
69,0,mathematics,"teaching, technology","analytic thinking, logical skills, c , writing",71.25,0,no,0,Technology & Data Science
70,1,computer applications,technology,"active listening,negotiation skills",71.25,0,no,1,Technology & Data Science
71,0,information technology,technology,"java, sql, programming",76.0,0,no,0,Technology & Data Science
72,0,electrical and electronics engineering,software job,stack web development,78.85,1,stack web development,1,Technology & Data Science
73,0,electrical and electronics engineering,"all fields related to data science ,machine learning,sports industry","programming language skills,business knowledge,analytical skills,communication skills,python,sql",73.53,1,"ibm machine learning, full stack development, amcat corporate communications",1,Technology & Data Science
74,0,computer science engineering,"data scientist,machine learning","programming language skills,data visualization skills power bi tableau ,machine learning skills,c ,r,linux,python,artificial intelligence,sql,java",73.62,1,power bi,1,Technology & Data Science
75,0,accounting(business and management) ,"financial analysis,research,sales marketing,digital marketing","critical thinking,business knowledge,communication skills,negotiation skills,artificial intelligence",85.69,0,no,0,Business & Entrepreneurship
76,0,sales and marketing,sales marketing,"business knowledge,people management,communication skills,product knowledge,sales,social media marketing",72.0,0,no,1,Business & Entrepreneurship
77,0,civil engineering,"product life cycle management,","agile methodologies,usability testing,c ,microsoft officebentley inroadsproduct requirements,user stories,metrics,product management,product innovation,user experience ux ,research,business development,digital marketing,",72.68,1,digital marketing,1,Business & Entrepreneurship
78,0,electrical and electronics engineering,technology,"power electronics,simulink,inverters,matlab,plc,variable frequency drives,switchgear,industrial control",79.8,1,simulation and analysis of control algorithms for igbt converters/inverters,1,Technology & Data Science
79,1,computer science ,"technology,data analytics","programming language skills,people management,communication skills,editing,c ,sql",78.0,1,"c++, c sharp, fundamentals of project management",1,Technology & Data Science
80,0,computer science engineering ,web development,"active listening,hardware skills,programming language skills,critical thinking,gathering information",71.0,0,no,1,Technology & Data Science
81,0,computer science engineering,"technology,supply chain analysis","analytical skills,machine learning skills,python,artificial intelligence,sql",85.0,1,no,1,Technology & Data Science
82,0,civil engineering ,"financial analysis,data analytics,home interior design,all fields related to data science ,construction,construction manegement,project management","gathering information,people management,communication skills,problem solving skills,sales,python,javascript,construction management",68.5,0,no,0,Technology & Data Science
83,0,statistics,understand human behaviour,"active listening,people management,civil criminal law,negotiation skills,machine learning skills",61.4,0,no,1,Social Impact & Humanities
84,0,criminal manual,"research, sales marketing, technology, entrepreneurship","analytic thinking, product knowledge, team work, logical skills",68.4,0,no,1,Business & Entrepreneurship
85,0,mechanical engineering,"research,technology,supply chain analysis,govt job","active listening,hardware skills,critical thinking,gathering information,artistic creative skills,people management,communication skills,negotiation skills,mass communication,leadership,editing,product knowledge,problem solving skills,risk management skills,writing skills,social media marketing,presentation skills,hospitality,hr,client management",72.68,0,no,0,Career & Professional Development
86,0,electrical and electronics engineering,"research,teaching,technology,trading","accounting skills,active listening,communication skills,product knowledge,problem solving skills",52.0,0,no,1,Career & Professional Development
87,0,electrical and electronics engineering,"research,teaching,technology,trading,understand human behaviour,understand human body,data scientist,market reserach,social media marketing,industires","programming language skills,critical thinking,analytical skills,problem solving skills,python,medical knowledge,matlab,teaching",62.26,0,no,0,Technology & Data Science
88,0,mechanical engineering,"market reserach,sap consultant in mm,project management","business knowledge,analytical skills,finance related skills,problem solving skills,risk management skills,presentation skills",80.75,1,pmp,1,Business & Entrepreneurship
89,0,electrical and electronics engineering,data analytics,"analytical skills,data visualization skills power bi tableau ,machine learning skills,social media marketing,r,python,artificial intelligence",63.9,1,data science using python and r programming ,1,Technology & Data Science
90,0,mechanical engineering ,"trading,web designing,content writing,web development,social media marketing","c ,hadoop,java,sql,core java,javascript,pl sql,informatica",80.37,1,c++,1,Creative & Design
91,1,computer science engineering,financial analysis,accounting skills,91.2,0,no,0,Business & Entrepreneurship
92,0,accountancy,entrepreneurship,"active listening, python, gathering informing, programming",88.35,1,organic farming,1,Business & Entrepreneurship
93,1,agriculture,"financial analysis,social causes,information technology,agriculture, services,excel","accounting skills,finance related skills,civil criminal law,negotiation skills,risk management skills",67.0,1,company secretary,1,Technology & Data Science
94,1,company law,data analytics,"javascript,python",73.15,1,"javascript,python",1,Technology & Data Science
95,1,electrical and electronics engineering,research,subject knowledge,52.25,1,pgdca,0,Career & Professional Development
96,1,physics,data analytics,javascript,65.55,1,javascript,1,Technology & Data Science
97,1,computer science engineering,technology,python,70.3,0,no,0,Technology & Data Science
98,1,computer applications,"technology,information technology","hardware skills,programming language skills,communication skills,problem solving skills,risk management skills,writing skills,presentation skills,linux,python,java,cloud computing",71.25,0,no,1,Technology & Data Science
99,1,computer science engineering,financial analysis,"teamwork,time management,company secretarial work,legal compliance,communication,teamleadership,interpersonal skills,presentations,interpersonal communication,companies act,indirect taxation",67.45,1,companies act;indirect taxation,1,Business & Entrepreneurship
100,0,accounting&finance,"teaching,technology,data analytics,govt job,data scientist,all fields related to data science ,design,machine learning,navy defence related,oil and gas","accounting skills,active listening,critical thinking,analytical skills,people management,communication skills,problem solving skills,python,teaching",80.28,1,professional certification program - data science and ai ,1,Technology & Data Science
101,0,electrical machines,financial analysis,"financial modeling,financial analysis,",84.55,1,financial modelling,1,Business & Entrepreneurship
102,0,finance,"research,understand human body,biotechnology","microbiology, cell culture ,molecular biology, bioprocess, katte virus",83.22,1,"antimicrobial resistance - theory and methods ;  cancer metastasis; 
fundamentals of immunology: t cells and signaling;
fundamentals of immunology: innate immunity and b-cell function;
drug discovery;drug delivery principles and engineering ",1,Healthcare & Life Sciences
103,0,biotechnology,data analytics,"analytic thinking, sql, oracle, communication skills, work under pressure, leadership, excel, interpersonal skills, problem solving skills, reporting",88.16,1,six sigma principles ,1,Technology & Data Science
104,2,automobile engineering,information technology,cloud computing,47.0,1,azure,1,Technology & Data Science
105,1,accountancy,sales marketing,accounting skills,76.0,0,no,0,Business & Entrepreneurship
106,0,data structures & algorithm,technology,gathering informing,73.15,1,no,0,Technology & Data Science
107,1,biotechnology,"research, technology, entrepreneurship, understand human body","active listening, critical thinking, analytic thinking, negotiation skills, presentation skills, problem solving skills, writing, observation skills, subject knowledge",87.0,0,no,0,Technology & Data Science
108,1,commerce,entrepreneurship,"accounting skills, cost accounting, excel, writing",67.45,0,no,0,Business & Entrepreneurship
109,0,commerce,take risk for profits,accounting skills,77.0,1,yes,0,Business & Entrepreneurship
110,0,managementãš,sales marketing,"business knowledge, communication skills, negotiation skills, work under pressure, leadership, creativity skills, market study, excel, writing, reading, sales",0.0,0,no,1,Business & Entrepreneurship
111,0,computer science engineering,machine learning,"java backend development, c, c , problem solving skills, jdbc programming ,object oriented programming, string stringbuffer and stringbuilder in java ,design and prototype in adobe xd ,html, css,javascript for web developers, responsive web design",84.55,1,java backend development; c; c++; problem solving skills; jdbc programming ;object oriented programming; string stringbuffer and stringbuilder in java ;design and prototype in adobe xd ;html; css;javascript for web developers; responsive web design,1,Technology & Data Science
112,0,law,"social justice,social causes",civil criminal law,74.1,1,certified fraud examiner (cfe),1,Social Impact & Humanities
113,1,zoology,"understand human body,data analytics,data scientist","programming language skills,artistic creative skills,leadership,problem solving skills,data visualization skills power bi tableau ,machine learning skills,social media marketing,r,python",72.0,1,certification course in data science by careerex,0,Technology & Data Science
114,0,mechanical engineering,"supply chain analysis,content writing,data analytics","accounting skills,active listening,programming language skills,gathering information,wealth management,content creation",53.0,0,no,1,Technology & Data Science
115,1,computer science engineering,"understand human behaviour, understand human body","active listening, critical thinking, sql, leadership, editing, creativity skills, team work, excel, logical skills, problem solving skills, designing skills",83.0,0,no,0,Healthcare & Life Sciences
116,1,electronics and communication engineering,data analytics,"data visualization skills power bi tableau ,r,python,sql,matlab",80.0,1,data science and tableau certification,0,Technology & Data Science
117,0,constitution,social justice,civil criminal law,73.0,0,no,1,Social Impact & Humanities
118,0,civil engineering,"construction,construction manegement","proeficiency in software like staad pro, etabs",83.41,1,staad-pro,1,Technical & Engineering Fields
119,1,"principal of programming language with c, ms office management tools, computer organization, mathematics, english.","web designing,data analytics,web development,information technology","active listening,programming language skills,gathering information,artistic creative skills,communication skills,leadership,problem solving skills,writing skills,programming language c",85.5,0,no,0,Technology & Data Science
120,1,computer science ,"research,technology,data analytics,data scientist,web development","active listening,programming language skills,gathering information,c ,java",69.0,1,machine learning,0,Technology & Data Science
121,1,microbiology,"technology, understand human body","leadership, team work, presentation skills, writing, observation skills, designing skills",83.6,0,no,1,Technology & Data Science
122,0,electrical and electronics engineering,"sales marketing, take risk for profits, teaching, entrepreneurship","ml, sql, leadership, writing, tableau",60.8,1,data science,0,Business & Entrepreneurship
123,0,computer science engineering,"technology,data analytics","active listening,programming language skills,communication skills,machine learning skills,python",67.0,1,data science using python and r programming languages,0,Technology & Data Science
124,0,taxation,"financial analysis,news coverage,social justice,teaching,technology,trading,understand human behaviour","accounting skills,hardware skills,critical thinking,business knowledge,finance related skills,civil criminal law,communication skills,mass communication,leadership,problem solving skills,risk management skills,data visualization skills power bi tableau ,machine learning skills,sales,python,sql",55.0,1,"tally erp9, sap",0,Business & Entrepreneurship
125,0,taxation,"financial analysis,news coverage,social justice,teaching,technology,trading,govt job,data scientist,social causes","accounting skills,hardware skills,critical thinking,business knowledge,finance related skills,civil criminal law,communication skills,leadership,problem solving skills,data visualization skills power bi tableau ,machine learning skills,python,sql,good communication skills,teaching",55.0,1,"tally erp9, sap",0,Technology & Data Science
126,1,biotechnology,"research, trading, understand human behaviour","ai, ml, python, critical thinking, analytic thinking, artistic skills, work under pressure, team work, logical skills, presentation skills",70.0,1,data science and artificial intelligence programe,1,Business & Entrepreneurship
127,0,business administration,"financial analysis, research, sales marketing, trading, entrepreneurship","active listening, leadership, market study, team work, mass communication, writing, reading, sales",68.4,1,master in diploma.. in designing cadd ,1,Business & Entrepreneurship
128,0,taxation ,sales marketing,sales,60.0,0,no,0,Business & Entrepreneurship
129,0,commerce,"financial analysis,news coverage,sales marketing,social causes,construction,construction manegement","finance related skills,people management,communication skills,leadership,sales,social media marketing",67.0,0,no,1,Technical & Engineering Fields
130,0,mechanical engineering,"financial analysis,research,sales marketing,technology,trading,supply chain analysis,data analytics,data scientist,market reserach,service,all fields related to data science ,industires,design,sap consultant in mm,product life cycle management","active listening,hardware skills,critical thinking,gathering information,artistic creative skills,business knowledge,people management,communication skills,product knowledge,problem solving skills,risk management skills,aws",63.08,0,no,0,Business & Entrepreneurship
131,0,electronics & telecom.,financial analysis,"programming language skills,analytical skills,c ,linux,sql,java,cloud computing",66.5,1,diploma in advanced computing (cdac),1,Business & Entrepreneurship
132,1,civil engineering,"research,all fields related to data science ,design","analytical skills,python,proeficiency in software like staad pro, etabs,good communication skills,teaching",78.28,1,"diploma in building design,primavera,mx road",0,Technology & Data Science
133,0,electrical and electronics engineering,industires,active listening,62.98,0,no,1,Technical & Engineering Fields
134,0,electronics and communication engineering,"trading,data analytics,data scientist,all fields related to data science","active listening,people management,leadership,cloud computing",59.0,1,diploma in cloud computing,1,Technology & Data Science
135,0,history ,"information technology,sports industry,salesforce admin","hardware skills,leadership,designing skills",64.0,0,no,1,Technology & Data Science
136,1,computer science engineering,"web designing,data scientist","active listening,programming language skills,critical thinking,communication skills,java,cloud computing",66.5,1,no,1,Technology & Data Science
137,0,thermal engineering,"teaching,technology,understand human body","active listening,gathering information,analytical skills,leadership,machine learning skills,interpersonal skills,medical knowledge",66.88,0,no,1,Technology & Data Science
138,0,electrical and electronics engineering,software developer,"ai, ml, python, analytic thinking, sql, programming, c",66.5,1,data science ,0,Technology & Data Science
139,0,civil engineering,"teaching,design","gathering information,finance related skills,civil criminal law",66.0,0,no,1,Creative & Design
140,0,electronics and communication engineering,teaching,"active listening,work under pressure,team work,presentation skills,reading",65.55,0,no,1,Career & Professional Development
141,0,computer science engineering,"data scientist,web development,social causes,all fields related to data science,machine learning","bootstrap,node js,angular,jira,trello,jquery,javascript,ajax,php,codeignitor,loopback,",72.2,1,html,1,Technology & Data Science
142,0,business administration,"sales marketing, entrepreneurship","business knowledge, people management, communication skills, logical skills, problem solving skills, reading, sales",61.56,0,no,1,Business & Entrepreneurship
143,1,math,govt job,teaching experience,60.0,0,no,1,Career & Professional Development
144,1,biotechnology,"research,sales marketing,teaching,trading,understand human behaviour","active listening,critical thinking,business knowledge,people management,communication skills,leadership,problem solving skills,risk management skills,writing skills,hospitality,client management,good communication skills",61.75,1,pioneer lab course work ,1,Business & Entrepreneurship
145,0,hospitality,hospitality,"accounting skills, business knowledge, editing, excel, designing skills, sales",84.55,1,diploma in pharmacy ,1,Service & Customer-Oriented
146,0,physics,"news coverage,social justice,content writing,govt job","accounting skills,critical thinking,gathering information,artistic creative skills,analytical skills",67.0,0,no,1,Media & Communication
147,0,biotechnology,"research,understand human body,biotechnology","polymerase chain reaction pcr ,molecular biology,life sciences,molecular biology protein purification,protein chemistry,protein assays,protein electrophoresis,protein chromatography,western blotting,protein structure prediction,protein kinases, protein structure ,protein characterization ,protein engineering",70.02,1,industrial biotechnology,1,Healthcare & Life Sciences
148,0,artificial intelligence ,data analytics,"programming language skills,machine learning skills,python",76.0,1,data science ,0,Technology & Data Science
149,0,information technology,technology,"active listening,critical thinking",70.0,1,no,1,Technology & Data Science
150,1,mathematics,news coverage,"communication skills, leadership, problem solving skills, subject knowledge",75.05,0,no,0,Media & Communication
151,0,biotechnalogy,"research,understand human body,biotechnology","phytochemistry,metabolomics,protein expression,pcr,molecular biology,life sciences,polymerase chain reaction pcr ,dna,biochemistry,bioinformatics,cell culture,protein purification,chemometrics",84.08,1,smart metabolic engineering for plant biosynthesis;small molecule analysis by nmr spectroscopy and mass spectrometry,1,Healthcare & Life Sciences
152,1,zoology,teaching,"business knowledge, communication skills, observation skills",72.2,1,d.pharmacy,0,Career & Professional Development
153,1,pr,"news coverage,content writing","artistic creative skills,mass communication",64.0,0,no,1,Media & Communication
154,1,political science ,teaching,teaching,60.0,1,dled,0,Career & Professional Development
155,0,mathematics,"research, technology","python, java, sql, oracle",57.95,0,no,0,Technology & Data Science
156,0,information technalogy,all fields related to data science,"leadership,r,python,sql",54.44,1,data science,1,Technology & Data Science
157,0,statistics,software and research,"python, critical thinking, analytic thinking, work under pressure, creativity skills, team work, derivatives, excel, logical skills, interpersonal skills, observation skills",74.86,0,no,0,Technology & Data Science
158,1,human resource,"financial analysis,sales marketing,trading,understand human behaviour","active listening,finance related skills,people management,communication skills,negotiation skills,interpersonal skills,hr",76.95,1,leadership and organizational behaviour,1,Business & Entrepreneurship
159,0,civil engineering,"teaching,technology,trading,home interior design,industires,design","active listening,hardware skills,critical thinking,gathering information,artistic creative skills,business knowledge",71.0,0,no,1,Technology & Data Science
160,0,mathematics,"financial analysis, sales marketing, teaching","team work, logical skills, writing",80.66,0,no,0,Business & Entrepreneurship
161,0,marketing,"financial analysis,sales marketing,technology,understand human behaviour,understand human body,supply chain analysis,game industry","accounting skills,artistic creative skills,business knowledge,finance related skills,people management,communication skills,negotiation skills,leadership,problem solving skills,risk management skills,sales,client management",69.0,1,cpta,1,Business & Entrepreneurship
162,0,mechanical engineering ,"technology,supply chain analysis,sap consultant in mm","business knowledge,people management,leadership,problem solving skills,sap",70.6,1,sap mm & sap s/4 hana in sourcing and procurement ,0,Technology & Data Science
163,0,electrical and electronics engineering,software job,"python, java",78.85,1,"python, java",1,Technology & Data Science
164,0,mechanical engineering,technology,"excel, interpersonal skills, presentation skills, subject knowledge",65.0,0,no,1,Technology & Data Science
165,1,computer science engineering,"web designing,web development,social media marketing,information technology","programming language skills,communication skills,leadership,problem solving skills,linux,sql,good communication skills,foreign languages french, spanish",84.55,0,no,1,Technology & Data Science
166,0,accountancy,financial analysis,accounting skills,38.0,0,no,0,Business & Entrepreneurship
167,0,computer science and engineering,software job,no,76.0,0,no,1,Technology & Data Science
168,1,electronics and communication engineering,it,"python, editing, team work, problem solving skills, writing",74.3,1,"azure, python",0,Technology & Data Science
169,0,electronics and communication engineering,"take risk for profits, technology","python, sql, work under pressure",57.57,1,python,0,Technology & Data Science
170,1,electronics and communication engineering,software job,no,76.0,0,no,1,Technology & Data Science
